,artistsrc,titlesrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
44,Elvis Presley,Heartbreak Hotel,0.696,0.21,4,-11.922,1,0.067,0.84,1.62e-06,0.107,0.717,93.543,audio_features,6xNwKNYZcvgV3XTIwsgNio,spotify:track:6xNwKNYZcvgV3XTIwsgNio,https://api.spotify.com/v1/tracks/6xNwKNYZcvgV3XTIwsgNio,https://api.spotify.com/v1/audio-analysis/6xNwKNYZcvgV3XTIwsgNio,127560,4,
45,Elvis Presley,Hound Dog,0.357,0.756,0,-8.492,1,0.0621,0.733,0.00505,0.76,0.95,174.797,audio_features,64Ny7djQ6rNJspquof2KoX,spotify:track:64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/tracks/64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/audio-analysis/64Ny7djQ6rNJspquof2KoX,136027,4,
46,Procol Harum,A Whiter Shade of Pale,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,audio_features,1cmjxqobVTrgAiJ0btAleN,spotify:track:1cmjxqobVTrgAiJ0btAleN,https://api.spotify.com/v1/tracks/1cmjxqobVTrgAiJ0btAleN,https://api.spotify.com/v1/audio-analysis/1cmjxqobVTrgAiJ0btAleN,248947,4,
47,Britney Spears,...Baby One More Time,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,audio_features,3MjUtNVVq3C8Fn0MP3zhXa,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,211067,4,
48,Van McCoy,The Hustle,0.627,0.875,0,-10.291,1,0.0741,0.232,0.475,0.0759,0.854,110.521,audio_features,75PHqzep3Lf11sIYP5ps5q,spotify:track:75PHqzep3Lf11sIYP5ps5q,https://api.spotify.com/v1/tracks/75PHqzep3Lf11sIYP5ps5q,https://api.spotify.com/v1/audio-analysis/75PHqzep3Lf11sIYP5ps5q,250240,4,
49,Wings,Mull of Kintyre,0.346,0.303,2,-13.604,1,0.0271,0.00128,0.0,0.116,0.43,91.715,audio_features,7t4c2dRPcikOFVODa0qlQu,spotify:track:7t4c2dRPcikOFVODa0qlQu,https://api.spotify.com/v1/tracks/7t4c2dRPcikOFVODa0qlQu,https://api.spotify.com/v1/audio-analysis/7t4c2dRPcikOFVODa0qlQu,283627,3,
50,The Animals,The House of the Rising Sun,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,audio_features,3XC7Jd6SfrQYKZJ6inyRHK,spotify:track:3XC7Jd6SfrQYKZJ6inyRHK,https://api.spotify.com/v1/tracks/3XC7Jd6SfrQYKZJ6inyRHK,https://api.spotify.com/v1/audio-analysis/3XC7Jd6SfrQYKZJ6inyRHK,269907,3,
51,Hey Jude,Hey Jude,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,audio_features,0aym2LBJBk9DAYuHHutrIl,spotify:track:0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl,425653,4,
52,Mary Hopkin,Those Were the Days,0.374,0.292,6,-9.404,0,0.0319,0.869,0.000581,0.108,0.497,169.68,audio_features,6QOg1CWFpLAsIK7I54JX4G,spotify:track:6QOg1CWFpLAsIK7I54JX4G,https://api.spotify.com/v1/tracks/6QOg1CWFpLAsIK7I54JX4G,https://api.spotify.com/v1/audio-analysis/6QOg1CWFpLAsIK7I54JX4G,310213,3,
53,Paul Hardcastle,19,0.753,0.897,11,-8.54,1,0.073,0.00281,0.73,0.351,0.937,117.937,audio_features,5fVFdkU5U6ULjXgwm5q89Q,spotify:track:5fVFdkU5U6ULjXgwm5q89Q,https://api.spotify.com/v1/tracks/5fVFdkU5U6ULjXgwm5q89Q,https://api.spotify.com/v1/audio-analysis/5fVFdkU5U6ULjXgwm5q89Q,210853,4,
